sc-param
Id,Parameter,Default Value,Override,Puppet class
829,admin_password,"",false,
795,admin_roles,userAdminreadWritedbAdmindbAdminAnyDatabasereadAnyDatabasereadWriteAnyDatabaseuserAdminAnyDatabaseclusterAdminclusterManagerclusterMonitorhostManagerrootrestore,false,
803,admin_username,${$mongodb::params::admin_username},false,
1019,agent,${$puppet::params::agent},false,
1091,agent_additional_settings,${$puppet::params::agent_additional_settings},false,
1080,agent_noop,${$puppet::params::agent_noop},false,
1098,agent_restart_command,${$puppet::params::agent_restart_command},false,
1109,agent_template,${$puppet::params::agent_template},false,
429,all,true,false,
430,all,true,false,
286,all_accept_redirects,0,false,
293,all_accept_source_route,0,false,
987,allow_any_crl_auth,${$::puppet::allow_any_crl_auth},false,
1043,allow_any_crl_auth,${$puppet::params::allow_any_crl_auth},false,
490,allow_from,127.0.0.1::1,false,
525,allow_from,"",false,
544,allow_from,127.0.0.1::1,false,
480,allow_pagespeed_console,"",false,
463,allow_pagespeed_message,"",false,
919,allow_query,${$::dns::params::allow_query},false,
922,allow_recursion,${$::dns::params::allow_recursion},false,
929,allowusbstorage,false,true,
481,allow_view_stats,"",false,
284,all_rp_filter,1,false,
290,all_secure_redirects,0,false,
280,all_send_redirects,0,false,
1176,alt_ds_hosts,${$::hosts::alt_ds_hosts},false,
1449,alt_ds_tms_instance,${$::hosts::alt_ds_tms_instance},false,
1480,alt_gots_vpn_suffix,${$::hosts::alt_gots_vpn_suffix},false,
1201,alt_server_hosts,${$::hosts::alt_server_hosts},false,
270,apache_directive_hash,${$augeasproviders::params::apache_directive_hash},false,
271,apache_setenv_hash,${$augeasproviders::params::apache_setenv_hash},false,
432,apache_version,${$::apache::apache_version},false,
517,apache_version,${$::apache::apache_version},false,
411,apache_version,${$::apache::version::default},false,
557,apache_version,${$::apache::apache_version},false,
497,apache_version,${$::apache::apache_version},false,
539,apache_version,${$::apache::apache_version},false,
506,apache_version,${$::apache::apache_version},false,
489,apache_version,${$::apache::apache_version},false,
486,apache_version,${$apache::apache_version},false,
964,app_root,${$::puppet::server_app_root},false,
950,app_root,${$::puppet::server_app_root},false,
1213,at_users,root,false,
134,audispd,yes,false,
847,auth,false,false,
735,auth,"",false,
1057,auth_allowed,${$puppet::params::auth_allowed},false,
973,auth_allowed,${$::puppet::auth_allowed},false,
573,authmethod,"",false,
573,authmethod,"",false,
314,auth_tcp,"",false,
1089,auth_template,${$puppet::params::auth_template},false,
979,auth_template,${$::puppet::auth_template},false,
343,auth_tls,"",false,
335,auth_unix_ro,${$::libvirt::params::auth_unix_ro},false,
336,auth_unix_rw,${$::libvirt::params::auth_unix_rw},false,
1132,autocache_dir,/var/log/tact-pki,false,
1133,autocache_logs,crlautocache.logcrlautocache.log.1crlautocache.log.2crlautocache.log.3crlautocache.log.4crlautocache.log.5crlautocache.log.6crlautocache.log.7crlautocache.log.8crlautocache.log.9,false,
572,auto_config,True,false,
572,auto_config,True,false,
205,automount,false,false,
1030,autosign,${$puppet::params::autosign},false,
173,autoupdate,${$ntp::params::autoupdate},false,
567,auto_update,"",false,
567,auto_update,"",false,
99,backend,,true,
901,banner_message,"You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions:\n-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.\n-At any time, the USG may inspect and seize data stored on this IS.\n-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.\n-This IS includes security measures (e.g., authentication and access controls) to protect USG interests -- not for your personal benefit or privacy.\n-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.",false,
1215,banner_message_enable,true,false,
564,base_url,"",false,
564,base_url,"",false,
768,bind_ip,${$mongodb::mongos::bind_ip},false,
748,bind_ip,"",false,
785,bind_ip,"",false,
798,bind_ip,${$mongodb::params::bind_ip},false,
886,bind_ip,"",false,
679,bindir,"",false,
1421,bond1,${$::ipaddress_bond1},false,
1423,bond1,${$::ipaddress_bond1},false,
574,bond1ip,${$ipaddress_bond1},false,
1147,bond1ip,${$::ds::params::bond1ip},false,
1422,bond2,${$::ipaddress_bond2},false,
1424,bond2,${$::ipaddress_bond2},false,
1430,bond2_0,${$::ipaddress_bond2_0},false,
1148,bond2ip,${$::ds::params::bond2ip},false,
938,brds,${$::hypervisor::brds},false,
165,brds,false,true,
161,bresc,false,true,
935,bresc,${$::hypervisor::bresc},false,
162,brhsm,false,true,
936,brhsm,${$::hypervisor::brhsm},false,
934,bricc,${$::hypervisor::bricc},false,
164,bricc,false,true,
195,broadcastclient,${$ntp::params::broadcastclient},false,
939,brpub,${$::hypervisor::brpub},false,
167,brpub,false,true,
166,brpub2,false,true,
940,brpub2,${$::hypervisor::brpub2},false,
937,brpvt,${$::hypervisor::brpvt},false,
163,brpvt,false,true,
1142,ca_certificates_ensure,present,false,
470,cache_path,/var/cache/mod_pagespeed/,false,
1246,ca_ds_hosts,${$::hosts::ca_ds_hosts},false,
1174,ca_ds_hosts,${$::hosts::ca_ds_hosts},false,
1308,ca_ds_hosts,${$::hosts::ca_ds_hosts},false,
1189,ca_icc_hosts,${$::hosts::ca_icc_hosts},false,
1244,ca_icc_hosts,${$::hosts::ca_icc_hosts},false,
1454,ca_icc_hosts,${$::hosts::ca_icc_hosts},false,
1484,ca_icc_suffix,${$::hosts::ca_icc_suffix},false,
1479,ca_icc_suffix,${$::hosts::ca_icc_suffix},false,
1455,ca_mgmt_hosts,${$::hosts::ca_mgmt_hosts},false,
1446,ca_mgmt_hosts,${$::hosts::ca_mgmt_hosts},false,
971,ca_port,${$::puppet::ca_port},false,
1100,ca_port,${$puppet::params::ca_port},false,
981,ca_server,${$::puppet::ca_server},false,
1045,ca_server,${$puppet::params::ca_server},false,
1322,ca_source,dnsLookup($::fqdn),false,
1245,ca_vm_icc_hosts,${$::hosts::ca_vm_icc_hosts},false,
1250,ca_vm_icc_hosts,${$::hosts::ca_vm_icc_hosts},false,
1343,certdblocation,/etc/pki/dodcerts,false,
569,cert_verify,"",false,
569,cert_verify,"",false,
1216,char_change,8,false,
1092,classfile,${$puppet::params::classfile},false,
71,client_conf,${$rsyslog::params::client_conf},false,
232,client_options,"",false,
1027,client_package,${$puppet::params::client_package},false,
648,client_package_name,"",false,
874,client_package_name,"",false,
594,client_package_name,${$postgresql::params::client_package_name},false,
1112,codedir,${$puppet::params::codedir},false,
479,collect_statistics,on,false,
140,compress,true,false,
382,confd_dir,${$::apache::params::confd_dir},false,
687,confd_dir,${$::apache::confd_dir},false,
666,confdir,"",false,
963,confdir,${$::puppet::server_dir},false,
761,config,${$mongodb::mongos::config},false,
956,config,${$::puppet::server_jvm_config},false,
802,config,${$mongodb::params::config},false,
1272,config,${$sssd::config},false,
1263,config,${$sssd::params::config},false,
775,config,${$mongodb::params::mongos_config},false,
174,config,${$ntp::params::config},false,
818,config_content,"",false,
760,config_content,${$mongodb::mongos::config_content},false,
772,config_content,"",false,
779,configdb,${$mongodb::params::mongos_configdb},false,
762,configdb,${$mongodb::mongos::configdb},false,
10,config_dir,${$sudo::params::config_dir},false,
1261,config_file,${$sssd::params::config_file},false,
7,config_file,${$sudo::params::config_file},false,
1271,config_file,${$sssd::config_file},false,
8,config_file_replace,true,false,
1290,config_package,firewall-config,false,
1395,config_package,firewall-config,false,
800,configsvr,"",false,
733,configsvr,"",false,
187,config_template,${$ntp::params::config_template},false,
1267,config_template,${$sssd::params::config_template},false,
1274,config_template,${$sssd::config_template},false,
1020,configtimeout,${$puppet::params::configtimeout},false,
149,conf_path,${$aide::params::conf_path},false,
415,conf_template,${$::apache::params::conf_template},false,
699,consumers_ca_cert,/etc/pki/katello/certs/katello-default-ca.crt,false,
673,contrib_package_name,"",false,
142,copytruncate,true,false,
816,cpu,"",false,
718,cpu,"",false,
705,crane_ca_cert,/etc/pki/katello/certs/katello-server-ca.crt,false,
709,crane_cert,/etc/pki/katello/certs/katello-apache.crt,false,
711,crane_key,/etc/pki/katello/private/katello-apache.key,false,
707,crane_port,5000,false,
815,create_admin,${$mongodb::params::create_admin},false,
663,createdb_path,"",false,
610,createdb_path,${$postgresql::params::createdb_path},false,
1013,cron_cmd,${$puppet::params::cron_cmd},false,
351,cron_command,/usr/local/sbin/yum-cron,false,
348,cron_environment,"",false,
350,cron_hour,10,false,
352,cron_minute,05,false,
354,cron_user,root,false,
1139,cron_users,root,false,
353,cron_weekday,1-5,false,
468,css_flatten_max_bytes,2048,false,
459,css_image_inline_max_bytes,2048,false,
454,css_inline_max_bytes,2048,false,
476,css_outline_min_bytes,3000,false,
55,ctrlaltdel_override_group,root,false,
54,ctrlaltdel_override_mode,0644,false,
53,ctrlaltdel_override_owner,root,false,
56,ctrlaltdel_override_path,USE_DEFAULTS,false,
116,custom_config,"",false,
101,custom_config,rsyslog/pkisyslog-${::nettype}.conf.erb,false,
121,custom_params,"",false,
1295,custom_services,"",false,
1406,custom_services,"",false,
98,database,,true,
647,datadir,"",false,
593,datadir,${$postgresql::params::datadir},false,
138,dateext,true,false,
1197,db_dir,${$aide::params::db_dir},false,
1194,db_file,${$aide::params::db_file},false,
832,dbpath,${$mongodb::params::dbpath},false,
725,dbpath,${$mongodb::params::dbpath},false,
1195,db_temp_file,${$aide::params::db_temp_file},false,
1312,dcredit,-1,false,
334,deb_default,${$::libvirt::params::deb_default},false,
291,default_accept_redirects,0,false,
295,default_accept_source_route,0,false,
389,default_confd_files,true,false,
665,default_connect_settings,"",false,
626,default_database,${$postgresql::params::default_database},false,
681,default_database,"",false,
1316,default_login_context,staff_u,false,
394,default_mods,true,false,
320,defaultnetwork,false,false,
279,default_rp_filter,1,false,
60,default_runlevel,3,true,
282,default_secure_redirects,0,false,
297,default_send_redirects,0,false,
399,default_ssl_ca,"",false,
398,default_ssl_cert,${$::apache::params::default_ssl_cert},false,
405,default_ssl_chain,"",false,
390,default_ssl_crl,"",false,
416,default_ssl_crl_path,"",false,
425,default_ssl_key,${$::apache::params::default_ssl_key},false,
404,default_ssl_vhost,false,false,
67,default_template,${$rsyslog::params::default_template},false,
421,default_vhost,true,false,
1289,default_zone,drop,false,
1411,default_zone,drop,false,
1303,default_zone,${$::firewalld::default_zone},false,
143,delaycompress,false,false,
644,devel_package_name,"",false,
830,diaglog,"",false,
552,dir,public_html,false,
488,dir,public_html,false,
1032,dir,${$puppet::params::dir},false,
1397,direct_chains,"",false,
1283,direct_chains,"",false,
793,directoryperdb,"",false,
1398,direct_passthroughs,"",false,
1299,direct_passthroughs,"",false,
1298,direct_rules,"",false,
